rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0080.jpg,32.0,0.824,0.744,1.0,0.76,12,8,False,True
2,frame_0033.jpg,13.2,0.8204,0.7158,0.875,1.0,14,7,False,True
3,frame_0031.jpg,12.4,0.7141,0.6531,0.625,1.0,13,5,False,False
4,frame_0017.jpg,6.8,0.7114,0.7228,0.5,1.0,11,4,False,True
5,frame_0082.jpg,32.8,0.7056,0.7643,0.625,0.68,12,5,False,False
6,frame_0321.jpg,128.4,0.7023,0.7245,1.0,0.2,12,8,False,True
7,frame_0004.jpg,1.6,0.7018,0.6286,0.625,1.0,12,5,False,True
8,frame_0132.jpg,52.8,0.6775,0.7301,0.375,1.0,13,3,False,True
9,frame_0388.jpg,155.2,0.6774,0.8408,0.75,0.16,14,6,False,True
10,frame_0070.jpg,28.0,0.6713,0.6426,0.5,1.0,16,4,False,True
11,frame_0079.jpg,31.6,0.6672,0.6394,0.625,0.8,12,5,False,False
12,frame_0071.jpg,28.4,0.6656,0.5562,0.625,1.0,14,5,False,False
13,frame_0291.jpg,116.4,0.664,0.767,0.375,0.84,10,3,False,True
14,frame_0295.jpg,118.0,0.6566,0.8161,0.375,0.68,12,3,False,False
15,frame_0133.jpg,53.2,0.6524,0.6049,0.5,1.0,11,4,False,False
16,frame_0075.jpg,30.0,0.6438,0.6785,0.375,0.96,10,3,False,True
17,frame_0296.jpg,118.4,0.6424,0.7289,0.5,0.64,13,4,False,True
18,frame_0074.jpg,29.6,0.6406,0.6562,0.375,1.0,14,3,False,False
19,frame_0232.jpg,92.8,0.6383,0.7466,0.75,0.2,17,6,False,True
20,frame_0021.jpg,8.4,0.6369,0.5738,0.5,1.0,12,4,False,False
21,frame_0030.jpg,12.0,0.6355,0.7209,0.25,1.0,12,2,False,False
22,frame_0002.jpg,0.8,0.6313,0.7125,0.25,1.0,12,2,False,False
23,frame_0029.jpg,11.6,0.6301,0.6353,0.375,1.0,10,3,False,False
24,frame_0330.jpg,132.0,0.6293,0.8676,0.625,0.04,19,5,False,False
25,frame_0076.jpg,30.4,0.6285,0.664,0.375,0.92,11,3,False,False
26,frame_0007.jpg,2.8,0.6274,0.6298,0.375,1.0,11,3,False,False
27,frame_0068.jpg,27.2,0.6213,0.6176,0.375,1.0,12,3,False,False
28,frame_0003.jpg,1.2,0.619,0.6131,0.375,1.0,11,3,False,False
29,frame_0114.jpg,45.6,0.6159,0.7448,0.625,0.28,13,5,False,False
30,frame_0016.jpg,6.4,0.6153,0.5306,0.5,1.0,10,4,False,False
31,frame_0292.jpg,116.8,0.6089,0.6727,0.375,0.8,11,3,False,False
32,frame_0120.jpg,48.0,0.6057,0.7034,0.5,0.52,12,4,False,False
33,frame_0000.jpg,0.0,0.6048,0.6596,0.25,1.0,12,2,False,False
34,frame_0081.jpg,32.4,0.6022,0.6915,0.375,0.72,14,3,False,False
35,frame_0386.jpg,154.4,0.5972,0.6483,0.75,0.24,18,6,False,False
36,frame_0001.jpg,0.4,0.5917,0.6334,0.25,1.0,12,2,False,False
37,frame_0221.jpg,88.4,0.5917,0.6374,0.75,0.24,12,6,False,False
38,frame_0280.jpg,112.0,0.5884,0.7169,0.5,0.4,11,4,False,False
39,frame_0231.jpg,92.4,0.5818,0.7997,0.5,0.16,15,4,False,False
40,frame_0172.jpg,68.8,0.5813,0.6276,0.625,0.4,13,5,False,False
41,frame_0310.jpg,124.0,0.5812,0.6803,0.75,0.08,13,6,False,False
42,frame_0032.jpg,12.8,0.5798,0.5346,0.375,1.0,15,3,False,False
43,frame_0170.jpg,68.0,0.5791,0.6662,0.5,0.48,12,4,False,False
44,frame_0027.jpg,10.8,0.579,0.6079,0.25,1.0,12,2,False,False
45,frame_0385.jpg,154.0,0.5769,0.6987,0.625,0.2,16,5,False,False
46,frame_0121.jpg,48.4,0.5762,0.5533,0.625,0.56,11,5,False,False
47,frame_0005.jpg,2.0,0.5749,0.5998,0.25,1.0,8,2,False,False
48,frame_0307.jpg,122.8,0.5714,0.6878,0.625,0.2,14,5,False,False
49,frame_0077.jpg,30.8,0.5689,0.6358,0.25,0.88,10,2,False,False
50,frame_0083.jpg,33.2,0.5643,0.6476,0.375,0.64,15,3,False,False
51,frame_0324.jpg,129.6,0.5636,0.5702,0.875,0.08,16,7,False,False
52,frame_0069.jpg,27.6,0.5624,0.5748,0.25,1.0,14,2,False,False
53,frame_0383.jpg,153.2,0.5622,0.7014,0.625,0.12,18,5,False,False
54,frame_0026.jpg,10.4,0.5598,0.5696,0.25,1.0,12,2,False,False
55,frame_0286.jpg,114.4,0.5574,0.6338,0.375,0.64,12,3,False,False
56,frame_0125.jpg,50.0,0.5565,0.525,0.5,0.72,14,4,False,False
57,frame_0203.jpg,81.2,0.5562,0.5564,0.5,0.64,8,4,False,False
58,frame_0374.jpg,149.6,0.5553,0.8805,0.25,0.2,18,2,False,False
59,frame_0222.jpg,88.8,0.5541,0.7282,0.5,0.2,11,4,False,False
60,frame_0014.jpg,5.6,0.5527,0.6305,0.125,1.0,7,1,False,False
61,frame_0316.jpg,126.4,0.5522,0.8154,0.375,0.16,14,3,False,False
62,frame_0124.jpg,49.6,0.5503,0.6785,0.25,0.68,15,2,False,False
63,frame_0067.jpg,26.8,0.5494,0.4739,0.375,1.0,17,3,False,False
64,frame_0384.jpg,153.6,0.5485,0.6579,0.625,0.16,17,5,False,False
65,frame_0305.jpg,122.0,0.5479,0.7587,0.375,0.28,12,3,False,False
66,frame_0387.jpg,154.8,0.5455,0.711,0.5,0.2,15,4,False,False
67,frame_0276.jpg,110.4,0.5449,0.6188,0.625,0.24,14,5,False,False
68,frame_0096.jpg,38.4,0.5431,0.8132,0.375,0.12,15,3,False,False
